Tweet,From,To,Day,Time,Date
Situasi arus lalu lintas di Traffic Light Cokroaminoto Jakarta Pusat menuju arah Jalan Rasuna Said maupun arah Gondangdia terpantau ramai lancar.,Traffic Light Cokroaminoto,"Jalan Rasuna Said, Gondangdia",Monday,08:56:00,13 June 2022
Situasi arus lalu lintas di Traffic Light Cempaka Putih Jakarta Pusat menuju arah Senen terpantau lancar.,Traffic Light Cempaka Putih,Senen,Sunday,07:25:00,12 June 2022
Situasi arus lalu lintas di Traffic Light Pintu Besi Jalan Gunung Sahari Jakarta Pusat terpantau ramai lancar.,Jalan Gunung Sahari,-,Thursday,06:56:00,09 June 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Jalan Medan Merdeka Selatan terpantau ramai lancar.,Traffic Light Tugu Tani,Jalan Medan Merdeka Selatan,Saturday,17:36:00,04 June 2022
Situasi arus lalu lintas di Traffic Light Sarinah Jakarta Pusat menuju arah Tanah Abang maupun arah Jalan Jendral Sudirman terpantau ramai lancar.,Traffic Light Sarinah,"Tanah Abang, Jalan Jendral Sudirman",Tuesday,07:49:00,31 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Jalan Medan Merdeka Selatan maupun arah Kwitang terpantau ramai lancar.,Traffic Light Tugu Tani,"Jalan Medan Merdeka Selatan, Kwitang",Tuesday,06:43:00,31 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat terpantau ramai lancar.,Traffic Light Tugu Tani ,-,Thursday,19:17:00,26 May 2022
Situasi arus lalu lintas di Jalan Jendral Sudirman (Teluk Betung) Jakarta Pusat menuju arah Jalan MH Thamrin terpantau ramai lancar.,Jalan Jendral Sudirman (Teluk Betung) ,Jalan MH Thamrin,Wednesday,06:43:00,25 May 2022
Situasi arus lalu lintas di Traffic Light Salemba Jakarta Pusat menuju arah Senen maupun arah Matraman terpantau ramai lancar.,Traffic Light Salemba,"Senen, Matraman",Sunday,07:52:00,22 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Jalan Medan Merdeka Selatan terpantau ramai lancar.,Traffic Light Tugu Tani,Jalan Medan Merdeka Selatan,Sunday,07:15:00,22 May 2022
Situasi arus lalu lintas di Traffic Light Cempaka Putih Jakarta Pusat menuju arah Pulo Gadung maupun arah Sunter terpantau ramai lancar.,Traffic Light Cempaka Putih,"Pulo Gadung, Sunter",Tuesday,17:01:00,17 May 2022
Situasi arus lalu lintas di Traffic Light Asia Afrika Senayan Jakarta Pusat terpantau lancar.,Traffic Light Asia Afrika Senayan ,-,Saturday,06:10:00,07 May 2022
Situasi arus lalu lintas di Traffic Light Sarinah Jakarta Pusat menuju arah Tanah Abang maupun arah Jalan Jendral Sudirman terpantau ramai lancar.,Traffic Light Sarinah,"Tanah Abang, Jalan Jendral Sudirman",Tuesday,07:49:00,31 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Jalan Medan Merdeka Selatan maupun arah Kwitang terpantau ramai lancar.,Traffic Light Tugu Tani,"Jalan Medan Merdeka Selatan, Kwitang",Tuesday,06:43:00,31 May 2022
Situasi arus lalu lintas di Traffic light Tugu Tani Jakarta Pusat terpantau ramai lancar.,Traffic light Tugu Tani ,-,Monday,22:08:00,30 May 2022
Situasi arus lalu lintas di Traffic Light Harmoni Jakarta Pusat menuju arah Jalan Hayam Wuruk maupun arah Sebaliknya terpantau ramai lancar.,Traffic Light Harmoni,"Jalan Hayam Wuruk, Sebaliknya",Sunday,13:40:00,29 May 2022
Situasi arus lalu lintas di Traffic Light Asia Afrika Senayan Jakarta Pusat terpantau ramai lancar.,Traffic Light Asia Afrika Senayan ,-,Sunday,10:48:00,29 May 2022
Situasi arus lalu lintas di Traffic Light Kolong Galur Jalan Letjen Suprapto Jakarta Pusat menuju arah Senen maupun arah Kemayoran terpantau ramai lancar.,Jalan Letjen Suprapto,"Senen, Kemayoran",Sunday,10:05:00,29 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat terpantau ramai lancar.,Traffic Light Tugu Tani ,-,Thursday,19:17:00,26 May 2022
Situasi arus lalu lintas di Traffic Light Salemba Jakarta Pusat menuju arah Matraman maupun arah Rawamangun terpantau ramai lancar.,Traffic Light Salemba,"Matraman, Rawamangun",Thursday,15:29:00,26 May 2022
Situasi arus lalu lintas di Traffic Light Bungur Jakarta Pusat menuju arah Kemayoran terpantau ramai lancar.,Traffic Light Bungur,Kemayoran,Thursday,14:46:00,26 May 2022
Situasi arus lalu lintas di Traffic Light Tugu Tani Jakarta Pusat menuju arah Jalan Medan Merdeka Selatan terpantau ramai lancar.,Traffic Light Tugu Tani,Jalan Medan Merdeka Selatan,Wednesday,07:47:00,25 May 2022
Situasi arus lalu lintas di Jalan Jendral Sudirman (Teluk Betung) Jakarta Pusat menuju arah Jalan MH Thamrin terpantau ramai lancar.,Jalan Jendral Sudirman (Teluk Betung) ,Jalan MH Thamrin,Wednesday,06:43:00,25 May 2022
Situasi arus lalu lintas di Traffic Light Harmoni Jakarta Pusat menuju arah Jalan Medan Merdeka Barat maupun arah Jalan Juanda terpantau ramai lancar.,Traffic Light Harmoni,"Jalan Medan Merdeka Barat, Jalan Juanda",Monday,10:26:00,23 May 2022
Situasi arus lalu lintas di Traffic Light Salemba Jakarta Pusat menuju arah Senen maupun arah Matraman terpantau ramai lancar.,Traffic Light Salemba,"Senen, Matraman",Sunday,07:52:00,22 May 2022
